,0
flux_skewness,0.624793410713316
rise_fraction,0.6142231331532774
decay_fraction,0.6142231331532773
peak_position_fraction,0.5778842226731917
log_a,0.4739963924242558
shape_complexity,0.45738791426797376
energy_density,0.44794922969948536
flux_kurtosis,0.4446695013925739
sharpness,0.429229812528929
amplitude,0.4152929818594227
peak_flux,0.4152929818594227
decay_rate,0.40470254543015
r_squared,0.38818826928482064
log_c,0.38459329234090756
log_d,0.3843042061445268
width,0.3839851428569869
integrated_flux,0.37872245200947857
duration,0.37581438944389406
flux_efficiency,0.3662453989303887
min_flux,0.33755508387122546
residual_mean,0.29785735733617974
residual_skewness,0.27709117554809276
asymmetry,0.24630884092937785
decay_time,0.24533337330877938
sampling_rate,0.22720029392617677
total_duration,0.21897557956931785
rise_time,0.19273320114618697
peak_time,0.19273320114618697
time_to_peak,0.17015361768963644
rise_slope,0.1622939266226977
residual_std,0.1481553321621487
rmse,0.1479705296562418
mae,0.13977870987983046
std_flux,0.12143531283449749
flux_range,0.10416193051337103
max_flux,0.08838605421180258
mean_flux,0.08626542211175786
residual_kurtosis,0.033288625426825605
mean_relative_error,0.032455037475596284
max_relative_error,0.014500222707668655
power_indicator,0.005951826635609085
decay_slope,0.0006226085240513648
