Time_minutes,Channel,Residual_amplitude,Threshold,Significance
32,XRSA,-0.0525415145411951,0.047091715776752086,1.1157273349367625
32,XRSB,-0.033000789114587585,0.02132657407143848,1.5474022693023042
33,XRSB,-0.03507373870349641,0.02132657407143848,1.6446025782673062
34,XRSA,0.05107985101082174,0.047091715776752086,1.0846886797027364
34,XRSB,0.022279391277522265,0.02132657407143848,1.0446774621602182
35,XRSA,0.1116387471072896,0.047091715776752086,2.370666374453968
35,XRSB,0.06451535654305494,0.02132657407143848,3.025115816865159
36,XRSB,0.03907678167436529,0.02132657407143848,1.8323046891389225
64,XRSA,0.05698963856993686,0.047091715776752086,1.2101839491282904
65,XRSB,0.035163896115408266,0.02132657407143848,1.648830046383369
65,XRSA,0.060706130365333566,0.047091715776752086,1.2891042376354134
122,XRSA,-0.04863589645894048,0.047091715776752086,1.0327909199467036
141,XRSA,-0.05260744928428174,0.047091715776752086,1.1171274695888787
177,XRSA,0.052644763287819946,0.047091715776752086,1.1179198383298077
417,XRSA,-0.053016765822761075,0.047091715776752086,1.1258193707381123
418,XRSA,-0.09954041936456398,0.047091715776752086,2.1137564797268316
418,XRSB,-0.043174790762159306,0.02132657407143848,2.0244597476151105
419,XRSA,-0.09673711035416935,0.047091715776752086,2.054227771457116
419,XRSB,-0.04905921313812011,0.02132657407143848,2.30037946900353
420,XRSB,0.029691617670127568,0.02132657407143848,1.392235694803505
420,XRSA,0.11790468209534426,0.047091715776752086,2.503724490615197
421,XRSB,0.06553454523469579,0.02132657407143848,3.072905428465542
421,XRSA,0.1825194358371786,0.047091715776752086,3.8758289611372274
422,XRSB,0.05473427375036903,0.02132657407143848,2.566482247313771
422,XRSA,0.11646147199964646,0.047091715776752086,2.4730776969723487
423,XRSB,0.028784521966712967,0.02132657407143848,1.3497021073470263
463,XRSA,0.050006630511844036,0.047091715776752086,1.0618986734080937
463,XRSB,0.02725364384124948,0.02132657407143848,1.2779194515704613
464,XRSB,0.035420159636315535,0.02132657407143848,1.660846206130774
464,XRSA,0.057919415988037765,0.047091715776752086,1.2299279190126902
465,XRSB,0.023448190907607497,0.02132657407143848,1.099482309210197
771,XRSB,0.021574050579540455,0.02132657407143848,1.0116041379770135
869,XRSB,0.03134675071166959,0.02132657407143848,1.4698446457769598
869,XRSA,0.06913448411113204,0.047091715776752086,1.4680816566310348
870,XRSA,0.06656373757500236,0.047091715776752086,1.4134914491236925
870,XRSB,0.03972253529072409,0.02132657407143848,1.8625839836095528
871,XRSB,0.02359593163901058,0.02132657407143848,1.1064098509198121
994,XRSA,-0.0524282618490131,0.047091715776752086,1.113322396184501
997,XRSA,0.06493321038192887,0.047091715776752086,1.3788669474214539
997,XRSB,0.021705191949617647,0.02132657407143848,1.0177533380143897
998,XRSB,0.023704434082508247,0.02132657407143848,1.111497514936274
998,XRSA,0.05293596263377215,0.047091715776752086,1.1241035022959434
1067,XRSA,-0.04865120822520266,0.047091715776752086,1.033116067714408
1067,XRSB,-0.021805635814347482,0.02132657407143848,1.0224631364280201
1070,XRSB,0.022396893962189995,0.02132657407143848,1.0501871461945187
1070,XRSA,0.05444922244192768,0.047091715776752086,1.1562378126134831
1071,XRSB,0.023829103396445783,0.02132657407143848,1.117343241189348
1171,XRSB,-0.02789561509531384,0.02132657407143848,1.3080213916154924
1172,XRSB,-0.022318181249668403,0.02132657407143848,1.0464963183917069
1173,XRSB,0.023111871164828338,0.02132657407143848,1.0837123246992026
1173,XRSA,0.05844039545994917,0.047091715776752086,1.240991000136793
1174,XRSB,0.027976318182233208,0.02132657407143848,1.3118055477883983
1174,XRSA,0.05925465455696654,0.047091715776752086,1.2582819202824411
1265,XRSA,0.05000282325664071,0.047091715776752086,1.0618178257443267
1335,XRSB,0.023517558979588002,0.02132657407143848,1.1027349681580496
1376,XRSA,-0.04986337153122081,0.047091715776752086,1.0588565463957254
1376,XRSB,-0.029861229262420554,0.02132657407143848,1.4001887580439876
1377,XRSB,-0.028209460058633395,0.02132657407143848,1.3227375369404872
1378,XRSB,-0.022925445568716868,0.02132657407143848,1.074970855230783
1380,XRSA,0.04915766005994998,0.047091715776752086,1.0438706521756804
1380,XRSB,0.022427068699085673,0.02132657407143848,1.0516020352805293
1381,XRSA,0.06840859001528199,0.047091715776752086,1.4526671811999143
1381,XRSB,0.031142643666359215,0.02132657407143848,1.460274095691106
1382,XRSA,0.05573435625451073,0.047091715776752086,1.1835278314922915
1382,XRSB,0.02916807590976378,0.02132657407143848,1.3676868967354205
1383,XRSB,0.022480526763182684,0.02132657407143848,1.0541086762402045
